year,team,games,take_int,take_fum,take_tot,give_int,give_fum,give_tot,turnover_diff,turnover_diff_per_game,fumble_recovery_rate
2016,DAL,16,9,11,20,6,9,15,5,0.3125,0.55
2016,PIT,16,13,10,23,15,3,18,5,0.3125,0.7692
2016,CIN,16,17,3,20,8,9,17,3,0.1875,0.25
2016,DEN,16,14,13,27,11,14,25,2,0.125,0.4815
2016,MIA,16,16,9,25,15,8,23,2,0.125,0.5294
2016,TB,16,17,12,29,18,9,27,2,0.125,0.5714
2016,SEA,16,11,8,19,12,6,18,1,0.0625,0.5714
2016,ARI,16,14,14,28,17,11,28,0,0.0,0.56
2016,TEN,16,12,6,18,11,7,18,0,0.0,0.4615
2016,WAS,16,13,8,21,12,9,21,0,0.0,0.4706
2016,DET,16,10,4,14,10,5,15,-1,-0.0625,0.4444
2016,CAR,16,17,10,27,19,10,29,-2,-0.125,0.5
2016,NYG,16,17,8,25,16,11,27,-2,-0.125,0.4211
2016,NO,16,9,12,21,15,9,24,-3,-0.1875,0.5714
2016,IND,16,8,9,17,15,7,22,-5,-0.3125,0.5625
2016,SF,16,10,10,20,10,15,25,-5,-0.3125,0.4
2016,HOU,16,11,6,17,16,8,24,-7,-0.4375,0.4286
2016,LAC,16,18,10,28,21,14,35,-7,-0.4375,0.4167
2016,LAR,16,10,8,18,20,9,29,-11,-0.6875,0.4706
2016,CLE,16,10,3,13,14,11,25,-12,-0.75,0.2143
2016,JAX,16,7,6,13,16,13,29,-16,-1.0,0.3158
2016,CHI,16,8,3,11,19,12,31,-20,-1.25,0.2
2016,NYJ,16,8,6,14,25,9,34,-20,-1.25,0.4
2017,BAL,16,22,12,34,13,4,17,17,1.0625,0.75
2017,KC,16,16,10,26,8,3,11,15,0.9375,0.7692
2017,LAC,16,18,9,27,11,4,15,12,0.75,0.6923
2017,PHI,16,19,12,31,9,11,20,11,0.6875,0.5217
2017,DET,16,19,13,32,11,11,22,10,0.625,0.5417
2017,JAX,16,21,12,33,13,10,23,10,0.625,0.5455
2017,BUF,16,18,7,25,10,6,16,9,0.5625,0.5385
2017,SEA,16,14,11,25,12,5,17,8,0.5,0.6875
2017,LAR,16,18,10,28,7,14,21,7,0.4375,0.4167
2017,NO,16,20,5,25,8,10,18,7,0.4375,0.3333
2017,NE,16,12,6,18,8,4,12,6,0.375,0.6
2017,IND,16,13,7,20,9,6,15,5,0.3125,0.5385
2017,MIN,16,14,5,19,8,6,14,5,0.3125,0.4545
2017,PIT,16,16,6,22,15,5,20,2,0.125,0.5455
2017,CHI,16,8,14,22,12,10,22,0,0.0,0.5833
2017,CAR,16,10,11,21,16,6,22,-1,-0.0625,0.6471
2017,DAL,16,10,11,21,13,9,22,-1,-0.0625,0.55
2017,TB,16,13,13,26,14,13,27,-1,-0.0625,0.5
2017,ATL,16,8,8,16,12,6,18,-2,-0.125,0.5714
2017,GB,16,11,11,22,18,7,25,-3,-0.1875,0.6111
2017,NYG,16,13,6,19,14,8,22,-3,-0.1875,0.4286
2017,SF,16,10,10,20,15,8,23,-3,-0.1875,0.5556
2017,ARI,16,15,6,21,18,7,25,-4,-0.25,0.4615
2017,NYJ,16,11,9,20,12,12,24,-4,-0.25,0.4286
2017,TEN,16,12,9,21,17,8,25,-4,-0.25,0.5294
2017,WAS,16,16,7,23,13,14,27,-4,-0.25,0.3333
2017,CIN,16,11,3,14,12,11,23,-9,-0.5625,0.2143
2017,HOU,16,11,5,16,17,11,28,-12,-0.75,0.3125
2017,MIA,16,9,6,15,21,8,29,-14,-0.875,0.4286
2017,LV,16,5,9,14,14,14,28,-14,-0.875,0.3913
2017,DEN,16,10,7,17,22,12,34,-17,-1.0625,0.3684
2017,CLE,16,7,6,13,28,13,41,-28,-1.75,0.3158
2018,SEA,16,12,14,26,7,4,11,15,0.9375,0.7778
2018,HOU,16,15,14,29,9,7,16,13,0.8125,0.6667
2018,CHI,16,27,9,36,14,10,24,12,0.75,0.4737
2018,LAR,16,18,12,30,12,7,19,11,0.6875,0.6316
2018,NE,16,18,10,28,11,7,18,10,0.625,0.5882
2018,KC,16,15,12,27,12,6,18,9,0.5625,0.6667
2018,NO,16,12,12,24,7,9,16,8,0.5,0.5714
2018,CLE,16,17,14,31,17,7,24,7,0.4375,0.6667
2018,DEN,16,17,11,28,15,6,21,7,0.4375,0.6471
2018,WAS,16,15,11,26,15,4,19,7,0.4375,0.7333
2018,MIA,16,21,7,28,13,10,23,5,0.3125,0.4118
2018,DAL,16,9,11,20,8,9,17,3,0.1875,0.55
2018,IND,16,15,11,26,15,9,24,2,0.125,0.55
2018,NYG,16,16,5,21,12,7,19,2,0.125,0.4167
2018,ATL,16,15,4,19,7,11,18,1,0.0625,0.2667
2018,CAR,16,13,10,23,16,6,22,1,0.0625,0.625
2018,CIN,16,12,6,18,13,4,17,1,0.0625,0.6
2018,LAC,16,13,7,20,12,7,19,1,0.0625,0.5
2018,GB,16,7,8,15,4,11,15,0,0.0,0.4211
2018,MIN,16,12,8,20,10,10,20,0,0.0,0.4444
2018,TEN,16,11,6,17,12,6,18,-1,-0.0625,0.5
2018,BAL,16,12,5,17,9,11,20,-3,-0.1875,0.3125
2018,BUF,16,16,11,27,23,9,32,-5,-0.3125,0.55
2018,DET,16,7,7,14,12,7,19,-5,-0.3125,0.5
2018,PHI,16,10,7,17,11,12,23,-6,-0.375,0.3684
2018,LV,16,14,3,17,10,14,24,-7,-0.4375,0.1765
2018,NYJ,16,13,7,20,19,11,30,-10,-0.625,0.3889
2018,PIT,16,8,7,15,17,9,26,-11,-0.6875,0.4375
2018,ARI,16,7,9,16,18,10,28,-12,-0.75,0.4737
2018,JAX,16,11,6,17,13,16,29,-12,-0.75,0.2727
2018,TB,16,9,8,17,26,9,35,-18,-1.125,0.4706
2018,SF,16,2,5,7,20,12,32,-25,-1.5625,0.2941
2019,NE,16,25,11,36,9,6,15,21,1.3125,0.6471
2019,NO,16,13,10,23,6,2,8,15,0.9375,0.8333
2019,GB,16,17,8,25,4,9,13,12,0.75,0.4706
2019,SEA,16,16,16,32,6,14,20,12,0.75,0.5333
2019,MIN,16,17,14,31,8,12,20,11,0.6875,0.5385
2019,BAL,16,13,12,25,8,7,15,10,0.625,0.6316
2019,KC,16,16,7,23,5,10,15,8,0.5,0.4118
2019,PIT,16,20,18,38,19,11,30,8,0.5,0.6207
2019,TEN,16,14,9,23,8,9,17,6,0.375,0.5
2019,BUF,16,14,9,23,12,7,19,4,0.25,0.5625
2019,SF,16,12,15,27,13,10,23,4,0.25,0.6
2019,IND,16,15,8,23,10,11,21,2,0.125,0.4211
2019,DEN,16,10,7,17,10,6,16,1,0.0625,0.5385
2019,WAS,16,13,9,22,13,8,21,1,0.0625,0.5294
2019,CHI,16,10,9,19,12,7,19,0,0.0,0.5625
2019,HOU,16,12,10,22,14,8,22,0,0.0,0.5556
2019,LAR,16,13,11,24,17,7,24,0,0.0,0.6111
2019,ARI,16,7,10,17,12,6,18,-1,-0.0625,0.625
2019,DAL,16,7,10,17,11,7,18,-1,-0.0625,0.5882
2019,JAX,16,10,9,19,8,12,20,-1,-0.0625,0.4286
2019,LV,16,9,6,15,8,9,17,-2,-0.125,0.4
2019,PHI,16,11,9,20,8,15,23,-3,-0.1875,0.375
2019,NYJ,16,12,9,21,16,9,25,-4,-0.25,0.5
2019,ATL,16,12,8,20,15,10,25,-5,-0.3125,0.4444
2019,DET,16,7,11,18,15,8,23,-5,-0.3125,0.5789
2019,CLE,16,14,6,20,21,7,28,-8,-0.5,0.4615
2019,MIA,16,13,3,16,18,8,26,-10,-0.625,0.2727
2019,TB,16,12,16,28,30,11,41,-13,-0.8125,0.5926
2019,CAR,16,14,7,21,21,14,35,-14,-0.875,0.3333
2019,CIN,16,11,5,16,16,14,30,-14,-0.875,0.2632
2019,LAC,16,11,3,14,20,11,31,-17,-1.0625,0.2143
2019,NYG,16,10,6,16,17,16,33,-17,-1.0625,0.2727
2020,TEN,16,15,8,23,7,5,12,11,0.6875,0.6154
2020,IND,16,15,10,25,11,4,15,10,0.625,0.7143
2020,MIA,16,18,11,29,13,7,20,9,0.5625,0.6111
2020,NO,16,18,8,26,8,9,17,9,0.5625,0.4706
2020,PIT,16,18,9,27,11,7,18,9,0.5625,0.5625
2020,TB,16,15,10,25,12,5,17,8,0.5,0.6667
2020,GB,16,11,7,18,5,6,11,7,0.4375,0.5385
2020,KC,16,16,6,22,7,9,16,6,0.375,0.4
2020,CLE,16,11,10,21,8,8,16,5,0.3125,0.5556
2020,BAL,16,10,12,22,11,7,18,4,0.25,0.6316
2020,BUF,16,15,11,26,11,11,22,4,0.25,0.5
2020,SEA,16,14,8,22,13,5,18,4,0.25,0.6154
2020,ATL,16,12,9,21,11,7,18,3,0.1875,0.5625
2020,LAC,16,12,7,19,10,6,16,3,0.1875,0.5385
2020,NE,16,18,4,22,14,5,19,3,0.1875,0.4444
2020,CAR,16,7,15,22,16,5,21,1,0.0625,0.75
2020,ARI,16,11,10,21,13,8,21,0,0.0,0.5556
2020,NYG,16,11,11,22,11,11,22,0,0.0,0.5
2020,NYJ,16,10,9,19,14,5,19,0,0.0,0.6429
2020,MIN,16,15,7,22,13,10,23,-1,-0.0625,0.4118
2020,DAL,16,10,13,23,13,13,26,-3,-0.1875,0.5
2020,LAR,16,14,8,22,14,11,25,-3,-0.1875,0.4211
2020,CHI,16,10,8,18,16,6,22,-4,-0.25,0.5714
2020,WAS,16,16,7,23,16,11,27,-4,-0.25,0.3889
2020,CIN,16,11,6,17,11,13,24,-7,-0.4375,0.3158
2020,JAX,16,12,5,17,16,9,25,-8,-0.5,0.3571
2020,DET,16,7,5,12,13,8,21,-9,-0.5625,0.3846
2020,HOU,16,3,6,9,7,11,18,-9,-0.5625,0.3529
2020,PHI,16,8,11,19,20,9,29,-10,-0.625,0.55
2020,LV,16,10,5,15,10,16,26,-11,-0.6875,0.2381
2020,SF,16,12,8,20,17,14,31,-11,-0.6875,0.3636
2020,DEN,16,10,6,16,23,9,32,-16,-1.0,0.4
2021,DAL,17,26,8,34,11,9,20,14,0.8235,0.4706
2021,IND,17,19,14,33,8,11,19,14,0.8235,0.56
2021,GB,17,18,8,26,7,6,13,13,0.7647,0.5714
2021,ARI,17,13,14,27,11,4,15,12,0.7059,0.7778
2021,MIN,17,16,8,24,7,6,13,11,0.6471,0.5714
2021,TB,17,17,12,29,12,7,19,10,0.5882,0.6316
2021,BUF,17,19,11,30,16,6,22,8,0.4706,0.6471
2021,NE,17,23,7,30,13,10,23,7,0.4118,0.4118
2021,NO,17,18,7,25,13,5,18,7,0.4118,0.5833
2021,SEA,17,11,7,18,7,6,13,5,0.2941,0.5385
2021,KC,17,15,14,29,13,12,25,4,0.2353,0.5385
2021,HOU,17,17,8,25,15,7,22,3,0.1765,0.5333
2021,LAR,17,19,6,25,18,5,23,2,0.1176,0.5455
2021,PIT,17,13,9,22,11,9,20,2,0.1176,0.5
2021,DEN,17,13,6,19,9,9,18,1,0.0588,0.4
2021,CIN,17,13,8,21,14,7,21,0,0.0,0.5333
2021,MIA,17,14,12,26,14,12,26,0,0.0,0.5
2021,PHI,17,12,4,16,10,6,16,0,0.0,0.4
2021,LAC,17,11,10,21,15,7,22,-1,-0.0588,0.5882
2021,CLE,17,13,6,19,14,8,22,-3,-0.1765,0.4286
2021,TEN,17,16,6,22,14,11,25,-3,-0.1765,0.3529
2021,DET,17,11,8,19,14,9,23,-4,-0.2353,0.4706
2021,SF,17,9,11,20,14,10,24,-4,-0.2353,0.5238
2021,WAS,17,11,8,19,15,9,24,-5,-0.2941,0.4706
2021,ATL,17,12,8,20,15,11,26,-6,-0.3529,0.4211
2021,NYG,17,15,7,22,20,10,30,-8,-0.4706,0.4118
2021,LV,17,6,9,15,14,10,24,-9,-0.5294,0.4737
2021,BAL,17,9,6,15,18,8,26,-11,-0.6471,0.4286
2021,CAR,17,9,7,16,21,8,29,-13,-0.7647,0.4667
2021,CHI,17,8,8,16,20,9,29,-13,-0.7647,0.4706
2021,NYJ,17,7,7,14,20,7,27,-13,-0.7647,0.5
2021,JAX,17,7,2,9,17,12,29,-20,-1.1765,0.1429
2022,SF,17,20,10,30,9,8,17,13,0.7647,0.5556
2022,DAL,17,16,17,33,18,5,23,10,0.5882,0.7727
2022,PHI,17,17,10,27,9,10,19,8,0.4706,0.5
2022,DET,17,12,10,22,7,8,15,7,0.4118,0.5556
2022,NE,17,19,11,30,14,9,23,7,0.4118,0.55
2022,CIN,16,13,11,24,12,6,18,6,0.375,0.6471
2022,JAX,17,14,13,27,9,13,22,5,0.2941,0.5
2022,LAC,17,14,10,24,10,9,19,5,0.2941,0.5263
2022,BAL,17,14,11,25,13,8,21,4,0.2353,0.5789
2022,PIT,17,20,3,23,14,5,19,4,0.2353,0.375
2022,NYG,17,6,13,19,6,10,16,3,0.1765,0.5652
2022,GB,17,17,7,24,12,10,22,2,0.1176,0.4118
2022,MIN,17,15,10,25,15,8,23,2,0.1176,0.5556
2022,SEA,17,14,11,25,12,11,23,2,0.1176,0.5
2022,BUF,16,17,10,27,14,13,27,0,0.0,0.4348
2022,CLE,17,11,9,20,12,9,21,-1,-0.0588,0.5
2022,DEN,17,15,8,23,15,9,24,-1,-0.0588,0.4706
2022,HOU,17,16,11,27,19,9,28,-1,-0.0588,0.55
2022,LAR,17,16,6,22,15,8,23,-1,-0.0588,0.4286
2022,CHI,17,14,9,23,15,10,25,-2,-0.1176,0.4737
2022,TB,17,10,10,20,10,12,22,-2,-0.1176,0.4545
2022,KC,17,11,9,20,12,11,23,-3,-0.1765,0.45
2022,TEN,17,14,6,20,11,12,23,-3,-0.1765,0.3333
2022,ATL,17,10,7,17,9,12,21,-4,-0.2353,0.3684
2022,CAR,17,10,7,17,13,8,21,-4,-0.2353,0.4667
2022,ARI,17,11,9,20,17,8,25,-5,-0.2941,0.5294
2022,WAS,17,9,9,18,16,7,23,-5,-0.2941,0.5625
2022,MIA,17,8,6,14,15,6,21,-7,-0.4118,0.5
2022,NYJ,17,12,4,16,14,9,23,-7,-0.4118,0.3077
2022,LV,17,6,7,13,17,4,21,-8,-0.4706,0.6364
2022,NO,17,7,7,14,14,11,25,-11,-0.6471,0.3889
2022,IND,17,10,11,21,20,14,34,-13,-0.7647,0.44
2023,BAL,17,18,13,31,7,12,19,12,0.7059,0.52
2023,NYG,17,18,13,31,12,7,19,12,0.7059,0.65
2023,NO,17,18,11,29,11,7,18,11,0.6471,0.6111
2023,PIT,17,16,11,27,9,7,16,11,0.6471,0.6111
2023,CIN,17,17,9,26,14,2,16,10,0.5882,0.8182
2023,DAL,17,17,9,26,10,6,16,10,0.5882,0.6
2023,HOU,17,14,10,24,8,6,14,10,0.5882,0.625
2023,SF,17,22,6,28,12,6,18,10,0.5882,0.5
2023,TB,17,13,13,26,10,8,18,8,0.4706,0.619
2023,DEN,17,11,15,26,9,13,22,4,0.2353,0.5357
2023,CHI,17,22,6,28,15,10,25,3,0.1765,0.375
2023,BUF,17,18,12,30,18,10,28,2,0.1176,0.5455
2023,IND,17,15,9,24,10,12,22,2,0.1176,0.4286
2023,MIA,17,15,12,27,15,10,25,2,0.1176,0.5455
2023,SEA,17,11,8,19,12,5,17,2,0.1176,0.6154
2023,DET,17,16,7,23,12,11,23,0,0.0,0.3889
2023,GB,17,7,11,18,11,7,18,0,0.0,0.6111
2023,LAC,17,9,12,21,8,13,21,0,0.0,0.48
2023,ARI,17,11,6,17,12,6,18,-1,-0.0588,0.5
2023,LV,17,13,9,22,18,6,24,-2,-0.1176,0.6
2023,JAX,17,16,11,27,14,16,30,-3,-0.1765,0.4074
2023,LAR,17,10,5,15,13,5,18,-3,-0.1765,0.5
2023,NYJ,17,17,10,27,15,18,33,-6,-0.3529,0.3571
2023,TEN,17,6,8,14,11,9,20,-6,-0.3529,0.4706
2023,CAR,17,8,3,11,10,10,20,-9,-0.5294,0.2308
2023,CLE,17,18,10,28,23,14,37,-9,-0.5294,0.4167
2023,PHI,17,9,9,18,16,12,28,-10,-0.5882,0.4286
2023,KC,17,8,9,17,17,11,28,-11,-0.6471,0.45
2023,NE,17,10,8,18,21,8,29,-11,-0.6471,0.5
2023,ATL,17,8,8,16,17,11,28,-12,-0.7059,0.4211
2023,MIN,17,11,11,22,19,15,34,-12,-0.7059,0.4231
2023,WAS,17,8,10,18,21,11,32,-14,-0.8235,0.4762
2024,BUF,17,16,16,32,6,2,8,24,1.4118,0.8889
2024,PIT,17,17,16,33,6,11,17,16,0.9412,0.5926
2024,GB,17,17,14,31,11,8,19,12,0.7059,0.6364
2024,LAC,17,15,6,21,3,6,9,12,0.7059,0.5
2024,MIN,17,24,9,33,12,9,21,12,0.7059,0.5
2024,PHI,17,13,13,26,6,9,15,11,0.6471,0.5909
2024,HOU,17,19,10,29,12,7,19,10,0.5882,0.5882
2024,DET,17,16,8,24,12,3,15,9,0.5294,0.7273
2024,CHI,17,11,13,24,7,9,16,8,0.4706,0.5909
2024,BAL,17,12,5,17,4,7,11,6,0.3529,0.4167
2024,DEN,17,15,10,25,12,7,19,6,0.3529,0.5882
2024,KC,17,13,7,20,11,3,14,6,0.3529,0.7
2024,LAR,17,13,7,20,9,5,14,6,0.3529,0.5833
2024,CIN,17,15,10,25,9,13,22,3,0.1765,0.4348
2024,WAS,17,7,10,17,9,7,16,1,0.0588,0.5882
2024,NO,17,14,3,17,12,7,19,-2,-0.1176,0.3
2024,NYJ,17,7,10,17,11,8,19,-2,-0.1176,0.5556
2024,ARI,17,9,8,17,11,9,20,-3,-0.1765,0.4706
2024,IND,17,16,9,25,19,10,29,-4,-0.2353,0.4737
2024,CAR,17,9,8,17,15,7,22,-5,-0.2941,0.5333
2024,MIA,17,10,6,16,10,11,21,-5,-0.2941,0.3529
2024,TB,17,7,11,18,16,7,23,-5,-0.2941,0.6111
2024,ATL,17,12,6,18,19,5,24,-6,-0.3529,0.5455
2024,DAL,17,13,9,22,14,14,28,-6,-0.3529,0.3913
2024,SEA,17,13,5,18,16,8,24,-6,-0.3529,0.3846
2024,NYG,17,5,10,15,13,10,23,-8,-0.4706,0.5
2024,SF,17,11,6,17,16,11,27,-10,-0.5882,0.3529
2024,NE,17,7,5,12,11,12,23,-11,-0.6471,0.2941
2024,JAX,17,6,3,9,15,9,24,-15,-0.8824,0.25
2024,LV,17,10,3,13,16,13,29,-16,-0.9412,0.1875
2024,TEN,17,11,7,18,21,13,34,-16,-0.9412,0.35
2024,CLE,17,4,8,12,23,11,34,-22,-1.2941,0.4211
2025,CHI,17,23,10,33,7,4,11,22,1.2941,0.7143
2025,HOU,17,19,10,29,9,3,12,17,1.0,0.7692
2025,JAX,17,22,9,31,12,6,18,13,0.7647,0.6
2025,PIT,17,15,12,27,9,6,15,12,0.7059,0.6667
2025,LAR,17,16,10,26,8,7,15,11,0.6471,0.5882
2025,TB,17,13,10,23,11,5,16,7,0.4118,0.6667
2025,PHI,17,12,9,21,7,8,15,6,0.3529,0.5294
2025,ATL,17,16,7,23,8,10,18,5,0.2941,0.4118
2025,DET,17,13,6,19,8,7,15,4,0.2353,0.4615
2025,NE,17,10,9,19,8,8,16,3,0.1765,0.5294
2025,LAC,17,19,4,23,14,7,21,2,0.1176,0.3636
2025,BUF,17,13,7,20,10,9,19,1,0.0588,0.4375
2025,GB,17,7,7,14,7,6,13,1,0.0588,0.5385
2025,KC,17,10,4,14,12,3,15,-1,-0.0588,0.5714
2025,ARI,17,10,9,19,11,10,21,-2,-0.1176,0.4737
2025,CAR,17,15,6,21,12,11,23,-2,-0.1176,0.3529
2025,IND,17,14,7,21,14,9,23,-2,-0.1176,0.4375
2025,NYG,17,9,6,15,10,7,17,-2,-0.1176,0.4615
2025,BAL,17,11,9,20,11,12,23,-3,-0.1765,0.4286
2025,CIN,17,13,8,21,17,7,24,-3,-0.1765,0.5333
2025,DEN,17,10,4,14,11,6,17,-3,-0.1765,0.4
2025,SEA,17,18,7,25,15,13,28,-3,-0.1765,0.35
2025,MIA,17,9,11,20,18,6,24,-4,-0.2353,0.6471
2025,NO,17,10,10,20,12,12,24,-4,-0.2353,0.4545
2025,TEN,17,6,8,14,8,11,19,-5,-0.2941,0.4211
2025,SF,17,6,10,16,16,6,22,-6,-0.3529,0.625
2025,CLE,17,11,7,18,18,7,25,-7,-0.4118,0.5
2025,LV,17,8,8,16,19,4,23,-7,-0.4118,0.6667
2025,DAL,17,6,6,12,12,9,21,-9,-0.5294,0.4
2025,MIN,17,8,13,21,21,9,30,-9,-0.5294,0.5909
2025,WAS,17,8,2,10,12,11,23,-13,-0.7647,0.1538
2025,NYJ,17,0,4,4,13,10,23,-19,-1.1176,0.2857
